11:47:46.089 INFO  [main] [app](FullNode.java:53) Full node running.
11:47:46.694 WARN  [main] [app](LocalWitnesses.java:104) PrivateKey is null.
11:47:47.282 WARN  [getIp] [net](NetUtil.java:111) Fail to get ipv4 by https://4.ipw.cn/, cause:Server returned HTTP response code: 403 for URL: https://4.ipw.cn/
11:47:47.378 WARN  [getIp] [net](NetUtil.java:111) Fail to get ipv6 by https://v6.ident.me, cause:Network is unreachable (connect failed)
11:47:47.380 INFO  [main] [app](Args.java:1560) External IP wasn't set, using ipv4 from libp2p
11:47:47.387 INFO  [main] [app](Args.java:1631) 

11:47:47.387 INFO  [main] [app](Args.java:1632) ************************ Net config ************************
11:47:47.387 INFO  [main] [app](Args.java:1633) P2P version: 11111
11:47:47.387 INFO  [main] [app](Args.java:1634) LAN IP: 172.20.0.2
11:47:47.387 INFO  [main] [app](Args.java:1635) External IP: 45.120.177.62
11:47:47.387 INFO  [main] [app](Args.java:1636) Listen port: 18888
11:47:47.388 INFO  [main] [app](Args.java:1637) Node ipv6 enable: false
11:47:47.388 INFO  [main] [app](Args.java:1638) Discover enable: true
11:47:47.388 INFO  [main] [app](Args.java:1639) Active node size: 0
11:47:47.388 INFO  [main] [app](Args.java:1640) Passive node size: 0
11:47:47.388 INFO  [main] [app](Args.java:1641) FastForward node size: 2
11:47:47.388 INFO  [main] [app](Args.java:1642) FastForward node number: 3
11:47:47.388 INFO  [main] [app](Args.java:1643) Seed node size: 30
11:47:47.388 INFO  [main] [app](Args.java:1644) Max connection: 30
11:47:47.388 INFO  [main] [app](Args.java:1645) Min connection: 8
11:47:47.388 INFO  [main] [app](Args.java:1646) Min active connection: 3
11:47:47.388 INFO  [main] [app](Args.java:1647) Max connection with same IP: 2
11:47:47.388 INFO  [main] [app](Args.java:1648) Solidity threads: 64
11:47:47.388 INFO  [main] [app](Args.java:1649) Trx reference block: solid
11:47:47.388 INFO  [main] [app](Args.java:1650) Open full tcp disconnect: false
11:47:47.388 INFO  [main] [app](Args.java:1651) Node detect enable: false
11:47:47.388 INFO  [main] [app](Args.java:1652) Node effective check enable: false
11:47:47.389 INFO  [main] [app](Args.java:1653) Rate limiter global qps: 50000
11:47:47.389 INFO  [main] [app](Args.java:1654) Rate limiter global ip qps: 10000
11:47:47.389 INFO  [main] [app](Args.java:1655) Rate limiter global api qps: 1000
11:47:47.389 INFO  [main] [app](Args.java:1656) ************************ Backup config ************************
11:47:47.389 INFO  [main] [app](Args.java:1657) Backup priority: 8
11:47:47.389 INFO  [main] [app](Args.java:1658) Backup listen port: 10001
11:47:47.389 INFO  [main] [app](Args.java:1659) Backup listen keepAliveInterval: 3000
11:47:47.389 INFO  [main] [app](Args.java:1660) Backup member size: 0
11:47:47.389 INFO  [main] [app](Args.java:1661) ************************ Code version *************************
11:47:47.390 INFO  [main] [app](Args.java:1662) Code version : 4.7.5
11:47:47.390 INFO  [main] [app](Args.java:1663) Version code: 18306
11:47:47.390 INFO  [main] [app](Args.java:1664) ************************ DB config *************************
11:47:47.390 INFO  [main] [app](Args.java:1665) DB engine : LEVELDB
11:47:47.390 INFO  [main] [app](Args.java:1666) Snapshot max flush count: 1
11:47:47.390 INFO  [main] [app](Args.java:1667) ***************************************************************
11:47:47.390 INFO  [main] [app](Args.java:1668) ************************ shutDown config *************************
11:47:47.390 INFO  [main] [app](Args.java:1669) ShutDown blockTime  : null
11:47:47.390 INFO  [main] [app](Args.java:1670) ShutDown blockHeight : -1
11:47:47.391 INFO  [main] [app](Args.java:1671) ShutDown blockCount : -1
11:47:47.391 INFO  [main] [app](Args.java:1672) ***************************************************************
11:47:47.391 INFO  [main] [app](Args.java:1673) 

11:47:47.391 INFO  [main] [app](FullNode.java:69) not in debug mode, it will check energy time
11:47:47.452 INFO  [main] [metrics](Metrics.java:33) prometheus exposed on port : 9527
11:47:47.564 WARN  [getIp] [net](NetUtil.java:111) Fail to get ipv6 by http://6.ipw.cn/, cause:Network is unreachable (connect failed)
11:47:49.262 INFO  [main] [DB](LevelDbDataSourceImpl.java:149) DB recent-transaction open success with writeBufferSize 16 M, cacheSize 32 M, maxOpenFiles 100.
11:47:49.282 INFO  [main] [app](DefaultConfig.java:49) key-value data source created.
11:47:49.290 INFO  [main] [DB](LevelDbDataSourceImpl.java:149) DB tmp open success with writeBufferSize 16 M, cacheSize 32 M, maxOpenFiles 100.
11:47:49.333 INFO  [main] [DB](LevelDbDataSourceImpl.java:149) DB properties open success with writeBufferSize 16 M, cacheSize 32 M, maxOpenFiles 100.
11:47:49.371 INFO  [main] [DB](DynamicPropertiesStore.java:2176) Update latest block header timestamp = 0.
11:47:49.372 INFO  [main] [DB](DynamicPropertiesStore.java:2184) Update latest block header number = 0.
11:47:49.383 INFO  [main] [DB](DynamicPropertiesStore.java:2192) Update latest block header id = 00.
11:47:49.384 INFO  [main] [DB](DynamicPropertiesStore.java:2197) Update state flag = 0.
11:47:49.446 INFO  [main] [DB](DynamicPropertiesStore.java:2336) Update allow protobuf number = 0.
